Record Time,Area (m^2),Area MA (m^2)
2024-06-24 15:30:00,807541.9334517019,807713.9575767432
2024-06-25 03:30:00,807758.5778773983,807710.5601253593
2024-06-25 11:30:00,807848.1319969225,807712.1597982846
2024-06-26 07:30:00,807467.6412060972,807707.5446860048
2024-06-26 23:30:00,807987.9346157056,807709.7907349768
2024-06-27 03:30:00,807789.4041726191,807712.6029911565
2024-06-27 11:30:00,807923.7546938272,807716.7383393536
2024-06-28 15:30:00,807688.7263226357,807722.8683271742
2024-06-29 19:30:00,807701.9837622695,807720.4145439705
2024-06-30 07:30:00,807650.6766597248,807719.5088571622
2024-06-30 15:30:00,807861.0108050595,807727.0434271382
2024-06-30 19:30:00,807701.5869762234,807726.7128238796
2024-07-01 19:30:00,807479.3308307744,807734.1633867769
2024-07-02 07:30:00,807637.0070867568,807733.5965835286
2024-07-02 11:30:00,807431.7100104559,807729.6243917778
2024-07-02 15:30:00,807495.8614759773,807726.5885097543
2024-07-03 03:30:00,808115.971026459,807734.3004879951
2024-07-03 23:30:00,807891.9914855569,807736.7977192483
2024-07-04 03:30:00,807915.7576438817,807739.1218741137
2024-07-04 23:30:00,807901.2226880945,807735.2465505486
2024-07-05 03:30:00,807799.0660709376,807736.0753754887
2024-07-05 07:30:00,807933.7112313685,807738.6091685127
2024-07-05 15:30:00,807970.4677789924,807737.3053531793
2024-07-05 23:30:00,807618.5057252276,807732.2719808106
2024-07-06 11:30:00,807551.3714800915,807729.9821010546
2024-07-06 15:30:00,807624.4668401796,807728.6631602936
2024-07-06 19:30:00,807851.2532006414,807728.598102738
2024-07-06 23:30:00,807766.1531431827,807729.0617452126
2024-07-07 07:30:00,807944.8682524776,807730.1560973148
2024-07-08 19:30:00,807707.5567549986,807722.8816779252
2024-07-09 03:30:00,807894.0361304841,807727.1668984952
2024-07-10 11:30:00,807223.2585222548,807728.4766440615
2024-07-10 15:30:00,807263.0668007489,807724.8769418645
2024-07-11 03:30:00,807258.4885287159,807718.7402522179
2024-07-11 15:30:00,807523.4567551032,807715.6292160779
2024-07-11 19:30:00,807773.5200326047,807716.381044864
2024-07-13 19:30:00,807469.5281996527,807723.4529965451
2024-07-13 23:30:00,807729.107535996,807723.5315318153
2024-07-14 03:30:00,807642.4291240727,807722.4205399284
2024-07-14 19:30:00,807705.7535360869,807725.0276812835
2024-07-15 03:30:00,807692.310977325,807725.767049306
2024-07-15 15:30:00,807800.6038954786,807727.0637538573
2024-07-15 19:30:00,807606.5113661105,807725.4123512853
2024-07-16 19:30:00,807629.6975316203,807723.4096403209
2024-07-16 23:30:00,807837.8336122283,807725.0212455591
2024-07-17 07:30:00,807910.4469469881,807730.7518053509
2024-07-17 11:30:00,807792.5616370179,807730.6506871879
2024-07-17 19:30:00,807772.6810389649,807725.5291959973
2024-07-18 03:30:00,807536.2711941269,807723.8431350569
2024-07-18 11:30:00,808079.8800082675,807728.8188322101
2024-07-18 15:30:00,807886.7891356286,807731.0755508303
2024-07-18 19:30:00,807846.6168656178,807730.6268466156
2024-07-18 23:30:00,807974.8676800893,807734.0668583546
2024-07-19 15:30:00,808084.7880321192,807734.6313830209
2024-07-19 19:30:00,808028.9799888602,807738.7070198964
2024-07-20 23:30:00,807828.8104195943,807735.5356659655
2024-07-21 03:30:00,807428.5271176184,807724.8941659795
2024-07-21 19:30:00,808155.5532206051,807728.234847641
